,PopulationSize,MutationRate,Time,Precision,Accuracy
0,5,0.01,2.9816449000500143,0.7476958525345622,0.7697974217311234
1,5,0.05,2.9816449000500143,0.7356979405034325,0.7587476979742173
2,5,0.1,2.9816449000500143,0.7288359788359788,0.7182320441988951
3,5,0.15,2.9816449000500143,0.6919374247894103,0.7016574585635359
4,5,0.2,2.9816449000500143,0.7153614457831325,0.6813996316758748
5,10,0.01,2.9816449000500143,0.8014440433212996,0.8133824432166974
6,10,0.05,2.9816449000500143,0.7256176853055917,0.7188459177409454
7,10,0.1,2.9816449000500143,0.720112517580872,0.6979742173112339
8,10,0.15,2.9816449000500143,0.681044267877412,0.7016574585635359
9,10,0.2,2.9816449000500143,0.7526080476900149,0.7139349294045426
10,15,0.01,2.9816449000500143,0.7875586854460094,0.8066298342541437
11,15,0.05,2.9816449000500143,0.7972027972027972,0.7667280540208717
12,15,0.1,2.9816449000500143,0.6997354497354498,0.6912216083486802
13,15,0.15,2.9816449000500143,0.7024793388429752,0.716390423572744
14,15,0.2,2.9816449000500143,0.665871121718377,0.6764886433394721
15,20,0.01,2.9816449000500143,0.7986111111111112,0.8225905463474524
16,20,0.05,2.9816449000500143,0.7410926365795725,0.7550644567219152
17,20,0.1,2.9816449000500143,0.7705696202531646,0.7157765500306936
18,20,0.15,2.9816449000500143,0.7311139564660691,0.7274401473296501
19,20,0.2,2.9816449000500143,0.7296875,0.6863106200122775
20,30,0.01,2.9816449000500143,0.7957244655581948,0.8115408225905464
21,30,0.05,2.9816449000500143,0.7668789808917198,0.7630448127685697
22,30,0.1,2.9816449000500143,0.6980703745743473,0.7200736648250461
23,30,0.15,2.9816449000500143,0.7690322580645161,0.761817065684469
24,30,0.2,2.9816449000500143,0.723943661971831,0.7010435850214856
