,Algorithm,Samples,Score,Iterations
0,RHC,10,7.0,2.0
1,RHC,10,7.0,3.0
2,RHC,10,7.0,4.0
3,RHC,10,7.0,5.0
4,RHC,10,7.0,6.0
5,RHC,10,7.0,7.0
6,RHC,10,7.0,8.0
7,RHC,10,8.0,10.0
8,RHC,10,8.0,11.0
9,RHC,10,9.0,13.0
10,RHC,10,10.0,15.0
11,RHC,10,10.0,16.0
12,RHC,10,10.0,17.0
13,RHC,10,10.0,18.0
14,RHC,10,10.0,19.0
15,RHC,10,10.0,20.0
16,RHC,10,10.0,21.0
17,RHC,10,10.0,22.0
18,RHC,10,10.0,23.0
19,RHC,10,10.0,24.0
20,RHC,10,10.0,25.0
21,GENETIC,10,10.0,402.0
22,GENETIC,10,10.0,603.0
23,GENETIC,10,10.0,804.0
24,GENETIC,10,10.0,1005.0
25,GENETIC,10,10.0,1206.0
26,GENETIC,10,10.0,1407.0
27,GENETIC,10,10.0,1608.0
28,GENETIC,10,10.0,1809.0
29,GENETIC,10,10.0,2010.0
30,GENETIC,10,10.0,2211.0
31,GENETIC,10,10.0,2412.0
32,MIMIC,10,10.0,402.0
33,MIMIC,10,10.0,603.0
34,MIMIC,10,10.0,804.0
35,MIMIC,10,10.0,1005.0
36,MIMIC,10,10.0,1206.0
37,MIMIC,10,10.0,1407.0
38,MIMIC,10,10.0,1608.0
39,MIMIC,10,10.0,1809.0
40,MIMIC,10,10.0,2010.0
41,MIMIC,10,10.0,2211.0
42,MIMIC,10,10.0,2412.0
43,SIMANNEAL,10,7.0,2.0
44,SIMANNEAL,10,7.0,3.0
45,SIMANNEAL,10,7.0,4.0
46,SIMANNEAL,10,7.0,5.0
47,SIMANNEAL,10,6.0,7.0
48,SIMANNEAL,10,7.0,9.0
49,SIMANNEAL,10,6.0,11.0
50,SIMANNEAL,10,6.0,12.0
51,SIMANNEAL,10,5.0,14.0
52,SIMANNEAL,10,6.0,16.0
53,SIMANNEAL,10,7.0,18.0
54,SIMANNEAL,10,7.0,19.0
55,SIMANNEAL,10,7.0,20.0
56,SIMANNEAL,10,8.0,22.0
57,SIMANNEAL,10,9.0,24.0
58,SIMANNEAL,10,10.0,26.0
59,SIMANNEAL,10,9.0,28.0
60,SIMANNEAL,10,9.0,29.0
61,SIMANNEAL,10,8.0,31.0
62,SIMANNEAL,10,8.0,32.0
63,SIMANNEAL,10,9.0,34.0
64,SIMANNEAL,10,10.0,36.0
65,SIMANNEAL,10,10.0,37.0
66,SIMANNEAL,10,9.0,39.0
67,SIMANNEAL,10,9.0,40.0
68,SIMANNEAL,10,9.0,41.0
69,SIMANNEAL,10,9.0,42.0
70,SIMANNEAL,10,9.0,43.0
71,SIMANNEAL,10,8.0,45.0
72,SIMANNEAL,10,8.0,46.0
73,SIMANNEAL,10,8.0,47.0
74,SIMANNEAL,10,7.0,49.0
75,SIMANNEAL,10,7.0,50.0
76,SIMANNEAL,10,8.0,52.0
77,SIMANNEAL,10,9.0,54.0
78,SIMANNEAL,10,9.0,55.0
79,SIMANNEAL,10,9.0,56.0
80,SIMANNEAL,10,8.0,58.0
81,SIMANNEAL,10,7.0,60.0
82,SIMANNEAL,10,8.0,62.0
83,SIMANNEAL,10,9.0,64.0
84,SIMANNEAL,10,9.0,65.0
85,SIMANNEAL,10,9.0,66.0
86,SIMANNEAL,10,9.0,67.0
87,SIMANNEAL,10,9.0,68.0
88,SIMANNEAL,10,8.0,70.0
89,SIMANNEAL,10,9.0,72.0
90,SIMANNEAL,10,9.0,73.0
91,SIMANNEAL,10,9.0,74.0
92,SIMANNEAL,10,9.0,75.0
93,SIMANNEAL,10,9.0,76.0
94,SIMANNEAL,10,8.0,78.0
95,SIMANNEAL,10,9.0,80.0
96,SIMANNEAL,10,9.0,81.0
97,SIMANNEAL,10,10.0,83.0
98,SIMANNEAL,10,9.0,85.0
99,SIMANNEAL,10,9.0,86.0
100,SIMANNEAL,10,8.0,88.0
101,SIMANNEAL,10,8.0,89.0
102,SIMANNEAL,10,8.0,90.0
103,SIMANNEAL,10,9.0,92.0
104,SIMANNEAL,10,9.0,93.0
105,SIMANNEAL,10,9.0,94.0
106,SIMANNEAL,10,10.0,96.0
107,SIMANNEAL,10,10.0,97.0
108,SIMANNEAL,10,10.0,98.0
109,SIMANNEAL,10,9.0,100.0
110,SIMANNEAL,10,10.0,102.0
111,SIMANNEAL,10,9.0,104.0
112,SIMANNEAL,10,9.0,105.0
113,SIMANNEAL,10,9.0,106.0
114,SIMANNEAL,10,9.0,107.0
115,SIMANNEAL,10,9.0,108.0
116,SIMANNEAL,10,9.0,109.0
117,SIMANNEAL,10,8.0,111.0
118,SIMANNEAL,10,8.0,112.0
119,SIMANNEAL,10,8.0,113.0
120,SIMANNEAL,10,8.0,114.0
121,SIMANNEAL,10,8.0,115.0
122,SIMANNEAL,10,9.0,117.0
123,SIMANNEAL,10,9.0,118.0
124,SIMANNEAL,10,9.0,119.0
125,SIMANNEAL,10,9.0,120.0
126,SIMANNEAL,10,9.0,121.0
127,SIMANNEAL,10,9.0,122.0
128,SIMANNEAL,10,9.0,123.0
129,SIMANNEAL,10,9.0,124.0
130,SIMANNEAL,10,9.0,125.0
131,SIMANNEAL,10,9.0,126.0
132,SIMANNEAL,10,9.0,127.0
133,RHC,20,12.0,2.0
134,RHC,20,12.0,3.0
135,RHC,20,13.0,5.0
136,RHC,20,14.0,7.0
137,RHC,20,14.0,8.0
138,RHC,20,14.0,9.0
139,RHC,20,14.0,10.0
140,RHC,20,14.0,11.0
141,RHC,20,15.0,13.0
142,RHC,20,15.0,14.0
143,RHC,20,15.0,15.0
144,RHC,20,15.0,16.0
145,RHC,20,15.0,17.0
146,RHC,20,15.0,18.0
147,RHC,20,15.0,19.0
148,RHC,20,15.0,20.0
149,RHC,20,16.0,22.0
150,RHC,20,16.0,23.0
151,RHC,20,16.0,24.0
152,RHC,20,17.0,26.0
153,RHC,20,17.0,27.0
154,RHC,20,17.0,28.0
155,RHC,20,18.0,30.0
156,RHC,20,18.0,31.0
157,RHC,20,18.0,32.0
158,RHC,20,18.0,33.0
159,RHC,20,18.0,34.0
160,RHC,20,18.0,35.0
161,RHC,20,18.0,36.0
162,RHC,20,18.0,37.0
163,RHC,20,18.0,38.0
164,RHC,20,18.0,39.0
165,RHC,20,18.0,40.0
166,GENETIC,20,16.0,402.0
167,GENETIC,20,18.0,604.0
168,GENETIC,20,19.0,806.0
169,GENETIC,20,19.0,1007.0
170,GENETIC,20,19.0,1208.0
171,GENETIC,20,19.0,1409.0
172,GENETIC,20,20.0,1611.0
173,GENETIC,20,20.0,1812.0
174,GENETIC,20,20.0,2013.0
175,GENETIC,20,20.0,2214.0
176,GENETIC,20,20.0,2415.0
177,GENETIC,20,20.0,2616.0
178,GENETIC,20,20.0,2817.0
179,GENETIC,20,20.0,3018.0
180,GENETIC,20,20.0,3219.0
181,GENETIC,20,20.0,3420.0
182,GENETIC,20,20.0,3621.0
183,MIMIC,20,17.0,402.0
184,MIMIC,20,19.0,604.0
185,MIMIC,20,19.0,805.0
186,MIMIC,20,20.0,1007.0
187,MIMIC,20,20.0,1208.0
188,MIMIC,20,20.0,1409.0
189,MIMIC,20,20.0,1610.0
190,MIMIC,20,20.0,1811.0
191,MIMIC,20,20.0,2012.0
192,MIMIC,20,20.0,2213.0
193,MIMIC,20,20.0,2414.0
194,MIMIC,20,20.0,2615.0
195,MIMIC,20,20.0,2816.0
196,MIMIC,20,20.0,3017.0
197,SIMANNEAL,20,12.0,2.0
198,SIMANNEAL,20,11.0,4.0
199,SIMANNEAL,20,12.0,6.0
200,SIMANNEAL,20,11.0,8.0
201,SIMANNEAL,20,11.0,9.0
202,SIMANNEAL,20,10.0,11.0
203,SIMANNEAL,20,11.0,13.0
204,SIMANNEAL,20,12.0,15.0
205,SIMANNEAL,20,12.0,16.0
206,SIMANNEAL,20,13.0,18.0
207,SIMANNEAL,20,13.0,19.0
208,SIMANNEAL,20,12.0,21.0
209,SIMANNEAL,20,13.0,23.0
210,SIMANNEAL,20,14.0,25.0
211,SIMANNEAL,20,13.0,27.0
212,SIMANNEAL,20,13.0,28.0
213,SIMANNEAL,20,12.0,30.0
214,SIMANNEAL,20,13.0,32.0
215,SIMANNEAL,20,14.0,34.0
216,SIMANNEAL,20,14.0,35.0
217,SIMANNEAL,20,15.0,37.0
218,SIMANNEAL,20,16.0,39.0
219,SIMANNEAL,20,17.0,41.0
220,SIMANNEAL,20,16.0,43.0
221,SIMANNEAL,20,17.0,45.0
222,SIMANNEAL,20,17.0,46.0
223,SIMANNEAL,20,17.0,47.0
224,SIMANNEAL,20,17.0,48.0
225,SIMANNEAL,20,16.0,50.0
226,SIMANNEAL,20,16.0,51.0
227,SIMANNEAL,20,15.0,53.0
228,SIMANNEAL,20,15.0,54.0
229,SIMANNEAL,20,15.0,55.0
230,SIMANNEAL,20,15.0,56.0
231,SIMANNEAL,20,16.0,58.0
232,SIMANNEAL,20,15.0,60.0
233,SIMANNEAL,20,15.0,61.0
234,SIMANNEAL,20,16.0,63.0
235,SIMANNEAL,20,15.0,65.0
236,SIMANNEAL,20,16.0,67.0
237,SIMANNEAL,20,16.0,68.0
238,SIMANNEAL,20,16.0,69.0
239,SIMANNEAL,20,16.0,70.0
240,SIMANNEAL,20,17.0,72.0
241,SIMANNEAL,20,17.0,73.0
242,SIMANNEAL,20,17.0,74.0
243,SIMANNEAL,20,17.0,75.0
244,SIMANNEAL,20,17.0,76.0
245,SIMANNEAL,20,17.0,77.0
246,SIMANNEAL,20,16.0,79.0
247,SIMANNEAL,20,17.0,81.0
248,SIMANNEAL,20,17.0,82.0
