,Algorithm,Samples,Score,Iterations
0,RHC,10,449.435758777583,1.0
1,RHC,10,496.89893041387745,3.0
2,RHC,10,496.89893041387745,4.0
3,RHC,10,496.89893041387745,5.0
4,RHC,10,554.6137338287441,7.0
5,RHC,10,554.6137338287441,8.0
6,RHC,10,554.6137338287441,9.0
7,RHC,10,554.960897236908,11.0
8,RHC,10,554.960897236908,12.0
9,RHC,10,554.960897236908,13.0
10,RHC,10,554.960897236908,14.0
11,RHC,10,554.960897236908,15.0
12,RHC,10,554.960897236908,16.0
13,RHC,10,554.960897236908,17.0
14,RHC,10,610.141221403098,19.0
15,RHC,10,610.141221403098,20.0
16,RHC,10,610.141221403098,21.0
17,RHC,10,610.141221403098,22.0
18,RHC,10,610.141221403098,23.0
19,RHC,10,610.141221403098,24.0
20,RHC,10,610.141221403098,25.0
21,RHC,10,610.141221403098,26.0
22,RHC,10,610.141221403098,27.0
23,RHC,10,610.141221403098,28.0
24,RHC,10,610.141221403098,29.0
25,GENETIC,10,682.1747663138717,402.0
26,GENETIC,10,692.4561397705694,604.0
27,GENETIC,10,692.4561397705694,805.0
28,GENETIC,10,692.4561397705694,1006.0
29,GENETIC,10,692.4561397705694,1207.0
30,GENETIC,10,692.4561397705694,1408.0
31,GENETIC,10,692.4561397705694,1609.0
32,GENETIC,10,694.9685900618447,1811.0
33,GENETIC,10,694.9685900618447,2012.0
34,GENETIC,10,694.9685900618447,2213.0
35,GENETIC,10,694.9685900618447,2414.0
36,GENETIC,10,697.3573478977627,2616.0
37,GENETIC,10,697.4758116135583,2818.0
38,GENETIC,10,697.4758116135583,3019.0
39,GENETIC,10,698.0744002605446,3221.0
40,GENETIC,10,698.480314529224,3423.0
41,GENETIC,10,699.4003053806385,3625.0
42,GENETIC,10,700.7053142676154,3827.0
43,GENETIC,10,700.7053142676154,4028.0
44,GENETIC,10,700.7053142676154,4229.0
45,GENETIC,10,700.7053142676154,4430.0
46,GENETIC,10,700.7053142676154,4631.0
47,GENETIC,10,700.7053142676154,4832.0
48,GENETIC,10,700.7053142676154,5033.0
49,GENETIC,10,700.7053142676154,5234.0
50,GENETIC,10,701.0267164720439,5436.0
51,GENETIC,10,701.0267164720439,5637.0
52,GENETIC,10,701.0267164720439,5838.0
53,GENETIC,10,701.0267164720439,6039.0
54,GENETIC,10,701.0267164720439,6240.0
55,GENETIC,10,701.0267164720439,6441.0
56,GENETIC,10,701.0267164720439,6642.0
57,GENETIC,10,701.0267164720439,6843.0
58,GENETIC,10,701.0267164720439,7044.0
59,GENETIC,10,701.0267164720439,7245.0
60,GENETIC,10,701.0267164720439,7446.0
61,MIMIC,10,670.1740963631024,402.0
62,MIMIC,10,693.0614600919953,604.0
63,MIMIC,10,694.5833524838544,806.0
64,MIMIC,10,700.0305182482882,1008.0
